Nombre y apellido;Team;Posicion;Value;Points;Average;Matches;Goals;Cards;Rival;¿Casa o Fuera?;Media en Casa;Media fuera;Estado;Nº Jornada;Puntos
Rui Silva;Betis;Portero;5.387.000;50;4,5;11;0;1;Barcelona;0;4,0;5,0;En forma;J20;3
Álvaro Lemos;Las Palmas;Defensa;200.000;9;3,0;3;0;1;Rayo Vallecano;1;3,5;2,0;En forma;J20;0
Aritz Elustondo;Real Sociedad;Defensa;509.000;30;3,8;8;0;1;Celta;1;2,3;4,6;En forma;J20;4
Damián Suárez;Getafe;Defensa;994.000;44;2,9;15;0;7;Osasuna;1;3,0;2,9;En forma;J19;-6
David García;Osasuna;Defensa;6.726.000;69;3,8;18;0;2;Getafe;0;4,4;3,2;En forma;J19;3
Abde Rebbach;Alavés;Centro;685.000;52;3,5;16;1;1;Cádiz;0;4,5;2,8;En forma;J20;0
Ander Barrenetxea;Real Sociedad;Centro;9.022.000;79;4,9;16;3;1;Celta;1;5,7;4,0;En forma;J20;2
André Almeida;Valencia;Centro;160.000;26;3,3;8;0;0;Athletic;0;3,3;3,3;En forma;J20;0
Carlos Benavídez;Alavés;Centro;173.000;33;2,4;14;0;2;Cádiz;0;1,9;2,9;En forma;J20;4
Pablo Barrios;Atlético;Centro;4.193.000;50;5,6;9;0;2;Granada;1;5,0;6,0;En forma;J19;0
Pathé Ciss;Rayo Vallecano;Centro;2.350.000;69;3,8;18;1;5;Las Palmas;0;3,1;4,4;En forma;J19;4
Abde Ezzalzouli;Betis;Delantero;1.210.000;54;3,4;16;1;0;Barcelona;0;4,3;2,0;En forma;J20;0
Cyle Larin;Mallorca;Delantero;4.376.000;68;3,6;19;2;3;Villarreal;1;4,2;2,9;En forma;J20;8
Famara Diédhiou;Granada;Delantero;163.000;19;2,4;8;0;1;Atlético;0;2,4;2,3;En forma;J20;0
Jonathan Bamba;Celta;Delantero;8.481.000;88;4,9;18;2;0;Real Sociedad;0;4,9;4,9;En forma;J20;0
